PublishDate,Source,Type,Title,Summary,Link
2025-09-18,Panasonic-UK,Company News,Panasonic Air Conditioning Transforms Surrey Home with Year-Round Comfort,"An extended 30-year-old five-bedroom family home in Surrey has recently been upgraded with Panasonic’s highly efficient Etherea with compact outdoor Air Conditioning system, featuring nanoeTM X technology.",https://www.aircon.panasonic.eu/GB_en/news/new/panasonic-air-conditioning-transforms-surrey-home-with-year-round-comfort/
2025-09-16,Panasonic-UK,Company News,Panasonic Delivers Sustainable Heat Pump Solution for Connect Housing Tenants,Panasonic Delivers Sustainable Heat Pump Solution for Connect Housing Tenants,https://www.aircon.panasonic.eu/GB_en/news/new/panasonic-delivers-sustainable-heat-pump-solution-for-connect-housing-tenants/
2025-09-15,Panasonic-UK,Company News,Mick Langford appointed as new UK Country Manager for Panasonic,"Panasonic is pleased to announce the appointment of Mick Langford as the new UK Country Manager for the heating and cooling division, effective from 15th September 2025. Mick brings over 40 years of industry and technical expertise to the role.",https://www.aircon.panasonic.eu/GB_en/news/new/mick-langford-appointed-as-new-uk-country-manager-for-panasonic/
2025-09-07,Panasonic-UK,Company News,Panasonic and tado° Launch First Joint Development,"AQUAREA Sync and Hydraulic Balancing cut heating costs, extend heat pump lifespan and unlock subsidies without any plumbing required",https://www.aircon.panasonic.eu/GB_en/news/new/panasonic-and-tado-launch-first-joint-development/
2025-09-01,Panasonic-UK,Company News,Panasonic invests €320m into European Heat Pump Production and R&D with Grand Opening of Factory in the Czech Republic,Panasonic invests €320m into European Heat Pump Production and R&D with Grand Opening of Factory in the Czech Republic,https://www.aircon.panasonic.eu/GB_en/news/new/panasonic-invests-eur320m-into-european-heat-pump-production-and-rd-with-grand-opening-of-factory-in-the-czech-republic/
2025-08-20,Panasonic-UK,Company News,Panasonic Announce Promotion on Purchases of their Mini VRF Outdoor Units,"Panasonic Heating and Cooling Solutions has introduced a new installer incentive this month. This promotion is available on purchases from 1st August through to 31st December (inclusive), T&C’s apply.",https://www.aircon.panasonic.eu/GB_en/news/new/panasonic-announce-promotion-on-purchases-of-their-mini-vrf-outdoor-units/
2025-06-26,Panasonic-UK,Company News,"Panasonic Unveils iCORE and iCOOL Refrigeration Ranges, Step Toward Sustainable Cooling Solutions",Panasonic is proud to announce the upcoming launch of its most extensive and versatile commercial refrigeration range to date.,https://www.aircon.panasonic.eu/GB_en/news/new/panasonic-unveils-icore-and-icool-refrigeration-ranges-step-toward-sustainable-cooling-solutions/
2025-06-24,Panasonic-UK,Company News,Driving Towards Net Zero: Panasonic Highlights its Vision on the Future of Sustainable Living at InstallerSHOW 2025,"Panasonic Heating & Cooling Solutions held a press briefing and panel discussion at InstallerSHOW 2025 (Stand 5C44), to showcase the company’s vision for achieving net zero and a more sustainable future.",https://www.aircon.panasonic.eu/GB_en/news/new/driving-towards-net-zero-panasonic-highlights-its-vision-on-the-future-of-sustainable-living-at-installershow-2025/
2025-06-24,Panasonic-UK,Company News,Panasonic Heat Pumps - Leading the Charge with Bellway’s Future Home at the University of Salford’s Energy House 2.0,"Panasonic has been helping with a study at the University of Salford and the Energy House 2.0 research project with Bellway Homes, looking at the effects of the planned Future Homes Building Standard (FHS) and how this will impact on new build properties.",https://www.aircon.panasonic.eu/GB_en/news/new/panasonic-heat-pumps-leading-the-charge-with-bellways-future-home-at-the-university-of-salfords-energy-house-20/
2025-06-23,Panasonic-UK,Company News,Gedling Green Ready for Future Home Standard with Panasonic Heat Pumps,"Panasonic heat pumps have been installed into Panasonic heat pumps have been installed into a regenerative housing project in Nottinghamshire, as part of a “Homes England” research project to provide innovative zero carbon ready homes.",https://www.aircon.panasonic.eu/GB_en/news/new/gedling-green-ready-for-future-home-standard-with-panasonic-heat-pumps/
