PublishDate,Source,Type,Title,Summary,Link
2025-09-22,RAC Plus,Industry News,"Optimised cooling needed for data centre boom, says Galebreaker",Computational fluid dynamics (CFD) modelling was being used for screen placement to optimise airflow and prevent hot air recirculation. He said this could be combined with AI to unlock new efficiencies.,https://www.racplus.com/news/optimised-cooling-needed-for-data-centre-boom-says-galebreaker-22-09-2025/
2025-09-15,RAC Plus,Industry News,Data centre cooling experts secure finance after Government assistance,"UKEF is the Government’s export credit agency, giving guarantees to banks in order to secure working capital for businesses. Last year, it reported providing a record £14.5bn in financing to 667 companies.",https://www.racplus.com/news/data-centre-cooling-experts-secure-finance-after-government-assistance-15-09-2025/
2025-09-08,RAC Plus,Industry News,European Commission consults on Heating and Cooling Strategy,"“For the EU to achieve its objectives of energy security, affordability, competitiveness and decarbonisation, it is urgent to address energy system inefficiencies and other shortcomings, eliminating wasted energy and increasing smart integration,” said the commission.",https://www.racplus.com/news/european-commission-consults-on-heating-and-cooling-strategy-08-09-2025/
2025-09-03,RAC Plus,Industry News,Danfoss reports robust results despite ‘volatile environment’,"Danfoss has posted solid results for the first half of 2025, with strong performances from its Climate Solutions and Drives businesses helping the company navigate a challenging global environment. Sales for the six-month period reportedly reached €4.8 billion, with an operational EBITA margin of 10.6% for H1 and 11.5% in Q2.",https://www.racplus.com/news/danfoss-reports-robust-results-despite-volatile-environment-03-09-2025/
2025-09-01,RAC Plus,Industry News,Daikin launches ‘Discovery Series’ for installers,"“The Daikin Discovery Series creates space for the kind of detailed, collaborative discussions that lead to better solutions for end users – as well as being a fun and productive opportunity to connect with our industry peers,” he said.",https://www.racplus.com/news/daikin-launches-discovery-series-for-installers-01-09-2025/
2025-08-29,RAC Plus,Industry News,Kelvion scales up to meet surging data centre cooling demand,"The largest expansion is taking place in the US, where a 42,000 m² addition will make the new site in Oklahoma Kelvion’s biggest global manufacturing hub for data centre cooling. The company is also boosting capacity in Opole, Poland, to strengthen support for European customers and build supply chain resilience across regions.",https://www.racplus.com/news/kelvion-scales-up-to-meet-surging-data-centre-cooling-demand-29-08-2025/
2025-08-22,RAC Plus,Industry News,"‘Overheating must not be overlooked’, says BESA","“However, to ensure these reach the most vulnerable in our society, cooling must now become a central part of the UK’s push to decarbonise the built environment, which continues to focus primarily on how we heat buildings,” he said.",https://www.racplus.com/news/overheating-must-not-be-overlooked-says-besa-22-08-2025/
2025-08-07,RAC Plus,Industry News,Refrigeration firms announce Cold Chain Hub 2025 participation,"“In addition to suppliers of portable cold stores, renewable energy systems, materials handling equipment, protective clothing and temperature-monitoring technology, exhibitors include major names in transport refrigeration solutions, cold store construction [and] refrigerated vehicle contract hire,” he said.",https://www.racplus.com/news/refrigeration-companies-to-exhibit-at-cold-chain-hub-2025-07-08-2025/
2025-08-07,RAC Plus,Industry News,Actuate UK welcomes reform of ‘unfair’ payment practices,"He said the plans were a chance for the industry to “reform in an area which has stifled growth, innovation and training, crippling supply-chain cash-flow and amplifying the repercussions of insolvency for over a century”.",https://www.racplus.com/news/actuate-uk-welcomes-reform-of-unfair-payment-practices-07-08-2025/
2025-08-04,RAC Plus,Industry News,Aggreko offers F-Gas Regulations guidance,"It notes that restrictions on high-GWP refrigerants are enforced whenever there is a more sustainable alternative, with companies required to check for leaks regularly and install adequate detection systems.",https://www.racplus.com/news/aggreko-offers-f-gas-guidance-04-08-2025/
2025-08-01,RAC Plus,Industry News,RACHP jobs temporarily avoid skilled visa crackdown,"The white paper said net migration would be further tightened as the UK’s training and workforce strategies were improved, with employers expected to “boost domestic talent and skills if they want to recruit from abroad”.",https://www.racplus.com/news/rachp-jobs-temporarily-avoid-skilled-visa-crackdown-01-08-2025/
2025-07-29,RAC Plus,Industry News,Eurovent joins calls for EU circular economy support,"Alongside trade groups focused on electrical goods, Eurovent called for streamlined rules and greater enforcement if plans to increase trade in secondary raw materials and products are to be effective.",https://www.racplus.com/news/eurovent-joins-calls-for-eu-circular-economy-support-29-07-2025/
