PublishDate,Source,Type,Title,Summary,Link
2025-10-06,Lennox,Company News,Lennox Schedules Third Quarter Results,"DALLAS , Oct. 6, 2025 /PRNewswire/ -- Lennox (NYSE: LII), a leader in energy-efficient climate control solutions, will report third quarter 2025 financial results before the market opens on Wednesday, Oct 22, 2025 . An earnings conference call and webcast are scheduled for the same day at 8:30 a.m.",https://investor.lennox.com/news-releases/news-release-details/lennox-schedules-third-quarter-results-0
2025-09-19,Lennox,Company News,Lennox Declares Quarterly Dividend,"DALLAS , Sept. 19, 2025 /PRNewswire/ -- The Lennox (NYSE: LII) board of directors approved a quarterly cash dividend of $1.30 per share of common stock, payable October 15, 2025 , to stockholders of record as of September 30, 2025 . About Lennox Lennox (NYSE:  LII ) is a leader in energy-efficient",https://investor.lennox.com/news-releases/news-release-details/lennox-declares-quarterly-dividend-4
2025-09-10,Lennox,Company News,Lennox Invests in AI Agents to Enhance Technician Support and Customer Experience,"More than 7,000 technicians have registered for the Lennox Technical Support AI agent, saving valuable time in the field. DALLAS , Sept. 10, 2025 /PRNewswire/ -- Lennox (NYSE: LII), a leading provider of innovative climate control solutions, is accelerating its digital transformation through",https://investor.lennox.com/news-releases/news-release-details/lennox-invests-ai-agents-enhance-technician-support-and-customer
2025-09-05,Lennox,Company News,Lennox is the First HVAC OEM to Complete the U.S. Department of Energy's Commercial Building HVAC Technology Challenge Lab Validation,"Lennox Commercial HVAC's cold climate heat pump rooftop unit is the first to pass lab validation in the 15-25 tons category of the Commercial Building HVAC Technology Challenge . DALLAS , Sept. 5, 2025 /PRNewswire/ -- Lennox (NYSE: LII), a leader in energy-efficient climate solutions, announced",https://investor.lennox.com/news-releases/news-release-details/lennox-first-hvac-oem-complete-us-department-energys-commercial
2025-08-18,Lennox,Company News,Lennox Signs Agreement to Acquire HVAC Division of NSI Industries,"Strategic acquisition expands parts and supplies portfolio for commercial and residential HVAC customers. DALLAS , Aug. 18, 2025 /PRNewswire/ -- Lennox (NYSE: LII), a leader in energy-efficient climate control solutions, announced today it has signed a definitive agreement to purchase the HVAC",https://investor.lennox.com/news-releases/news-release-details/lennox-signs-agreement-acquire-hvac-division-nsi-industries
2025-07-28,Lennox,Company News,Lennox Wins Multiple HVAC All-Star Awards from ACHR News,"Lennox Commercial HVAC Xion™ Rooftop Units and the Lennox ON AIR podcast won ACHR News' inaugural HVAC All-Star Awards in their respective categories. DALLAS , July 28, 2025 /PRNewswire/ -- Air Conditioning, Heating , & Refrigeration (ACHR) News has announced that Lennox Commercial HVAC Xion™",https://investor.lennox.com/news-releases/news-release-details/lennox-wins-multiple-hvac-all-star-awards-achr-news
2025-07-23,Lennox,Company News,Lennox Reports Second Quarter Results,"Q2 Highlights (All comparisons are year-over-year, unless otherwise noted) Revenue $1.5 billion , up 3% GAAP Operating Income $354 million – Segment profit up 11% to $354 million GAAP diluted EPS $7.82 – Adjusted diluted EPS up 14% to $7.82 FY 25 guidance increased – Revenue up 3% and revised EPS",https://investor.lennox.com/news-releases/news-release-details/lennox-reports-second-quarter-results
2025-07-07,Lennox,Company News,Lennox Schedules Second Quarter Results,"DALLAS , July 7, 2025 /PRNewswire/ -- Lennox (NYSE: LII), a leader in energy-efficient climate control solutions, will report second quarter 2025 financial results before the market opens on Wednesday, July 23, 2025 . An earnings conference call and webcast are scheduled for the same day at 8:30",https://investor.lennox.com/news-releases/news-release-details/lennox-schedules-second-quarter-results-0
2025-06-23,Lennox,Company News,Lennox Unveils Elite Series EL18KSLV Side Discharge Heat Pump Designed for Compact Homes,"The Lennox Side Discharge Heat Pump is a compact unit designed for efficient, quiet operation. DALLAS , June 23, 2025 /PRNewswire/ --  Lennox Residential HVAC , industry-leader in home comfort solutions, announced the launch of the Elite Series EL18KSLV Side Discharge Heat Pump , combining",https://investor.lennox.com/news-releases/news-release-details/lennox-unveils-elite-series-el18kslv-side-discharge-heat-pump
2025-05-27,Lennox,Company News,Lennox and Ariston Group Announce Joint Venture to Launch Water Heaters in North America,"The partnership combines Lennox's strength in residential distribution and customer relationships with Ariston Group's advanced water heating technology and manufacturing footprint, to launch water heaters that will carry the Lennox brands. DALLAS , May 27, 2025 /PRNewswire/ -- Lennox (NYSE: LII),",https://investor.lennox.com/news-releases/news-release-details/lennox-and-ariston-group-announce-joint-venture-launch-water
